department_name,class_id
Computer Science,CS 001
Computer Science,CS 003
Computer Science,Ma/CS 006C
Mathematics,Ma/CS 006C
Electrical Engineering,EE/CS 010B
Computer Science,EE/CS 010B
Computer Science,CS 011
Computer Science,CS 012
Computer Science,CS 038
Computer Science,Ma/CS 106C
Mathematics,Ma/CS 106C
Computer Science,CS 101
Computer Science,CS 111
Computer Science,CS 115
Computer Science,CS 124
Electrical Engineering,ME/CS/EE 129
Computer Science,ME/CS/EE 129
Mechanical Engineering,ME/CS/EE 129
Computer Science,CS 132
Computer Science,CS 137
Computer Science,CS 138
Information and Data Sciences,CS/EE/IDS 143
Electrical Engineering,CS/EE/IDS 143
Computer Science,CS/EE/IDS 143
Electrical Engineering,CS/EE 145
Computer Science,CS/EE 146
Computer Science,CS/EE 145
Electrical Engineering,CS/EE 146
